Date,Open
01-Jan-12,1258.86
01-Feb-12,1312.45
01-Mar-12,1365.9
01-Apr-12,1408.47
01-May-12,1397.86
01-Jun-12,1309.87
01-Jul-12,1362.33
01-Aug-12,1379.32
01-Sep-12,1406.54
01-Oct-12,1440.9
01-Nov-12,1412.2
01-Dec-12,1416.34
01-Jan-13,1426.19
01-Feb-13,1498.11
01-Mar-13,1514.68
01-Apr-13,1569.18
01-May-13,1597.55
01-Jun-13,1631.71
01-Jul-13,1609.78
01-Aug-13,1689.42
01-Sep-13,1635.95
01-Oct-13,1682.41
01-Nov-13,1758.7
01-Dec-13,1806.55
01-Jan-14,1845.86
01-Feb-14,1782.68
01-Mar-14,1857.68
01-Apr-14,1873.96
01-May-14,1884.39
01-Jun-14,1923.87
01-Jul-14,1962.29
01-Aug-14,1929.8
01-Sep-14,2004.07
01-Oct-14,1971.44
01-Nov-14,2018.21
01-Dec-14,2065.78
01-Jan-15,2058.9
01-Feb-15,1996.67
01-Mar-15,2105.23
01-Apr-15,2067.63
01-May-15,2087.38
01-Jun-15,2108.64
01-Jul-15,2067
01-Aug-15,2104.49
01-Sep-15,1970.09
01-Oct-15,1919.65
01-Nov-15,2080.76
01-Dec-15,2082.93
01-Jan-16,2038.2
01-Feb-16,1936.94
01-Mar-16,1937.09
01-Apr-16,2056.62
01-May-16,2067.17
01-Jun-16,2093.94
01-Jul-16,2099.34
01-Aug-16,2173.15
01-Sep-16,2171.33
01-Oct-16,2164.33
01-Nov-16,2128.68
01-Dec-16,2200.17
01-Jan-17,2251.57
01-Feb-17,2285.59
01-Mar-17,2380.13
01-Apr-17,2362.34
01-May-17,2388.5
01-Jun-17,2415.65
01-Jul-17,2431.39
01-Aug-17,2477.1
01-Sep-17,2474.42
01-Oct-17,2521.2
01-Nov-17,2583.21
01-Dec-17,2645.1
01-Jan-18,2683.73
01-Feb-18,2816.45
01-Mar-18,2715.22
01-Apr-18,2633.45
01-May-18,2642.96
01-Jun-18,2718.7
01-Jul-18,2704.95
01-Aug-18,2821.17
01-Sep-18,2896.96
01-Oct-18,2926.29
01-Nov-18,2717.58
01-Dec-18,2790.5
01-Jan-19,2476.96
01-Feb-19,2702.32
01-Mar-19,2798.22
01-Apr-19,2848.63
01-May-19,2952.33
01-Jun-19,2751.53
01-Jul-19,2971.41
01-Aug-19,2980.32
01-Sep-19,2909.01
01-Oct-19,2983.69
01-Nov-19,3050.72
01-Dec-19,3143.85
01-Jan-20,3244.67
01-Feb-20,3235.66
01-Mar-20,2974.28
01-Apr-20,2498.08
01-May-20,2869.09
01-Jun-20,3038.78
01-Jul-20,3105.92
01-Aug-20,3288.26
01-Sep-20,3507.44
01-Oct-20,3385.87
01-Nov-20,3296.2
01-Dec-20,3645.87
01-Jan-21,3764.61
01-Feb-21,3731.17
01-Mar-21,3842.51
01-Apr-21,3992.78
01-May-21,4191.98
